0,0421	0,063803	0,03947	0,034702	0,028454	0,0083956	0,045553	0,028783
0,029769	0,038812	0,026317	0,048019	0,018918	0,023357	0,039963	0,041443
0,03651	0,027468	0,026481	0,023522	0,020069	0,038319	0,035688	0,013492
0,035195	0,030427	0,044402	0,020069	0,02829	0,027632	0,023686	0,039141
0,033551	0,042265	0,022042	0,026481	0,039963	0,027468	0,026974	0,027796
0,038155	0,070051	0,026317	0,041772	0,04654	0,045882	0,0065871	0,058542
0,031907	0,060844	0,024837	0,012177	0,025824	0,036675	0,040785	0,041443
0,048513	0,058377	0,044731	0,016288	0,015794	0,022535	0,019083	0,029441
0,034044	0,039634	0,03651	0,026974	0,0421	0,016288	0,017274	0,028783
0,039141	0,025001	0,011355	0,036017	0,058049	-0,010019	0,014315	0,0090533
0,032729	0,044402	0,037168	0,015959	0,020233	0,010533	0,010862	0,034866
0,050157	0,061008	0,032564	-0,00064712	-0,0042642	0,011848	0,0074092	0,0028056
0,036839	0,049828	0,056076	0,044402	0,025166	0,02829	0,040456	0,034866
0,032564	0,045224	0,018589	0,033222	0,035195	0,027468	0,039141	0,015959
0,02122	0,036839	0,010533	0,020562	0,033222	0,020891	0,046211	0,020727
0,015137	0,037497	0,021878	0,024179	0,033058	0,020233	0,039305	0,026974
0,032729	0,079751	0,044073	0,054596	0,03799	0,040621	0,031414	0,031085
0,03092	0,049828	0,038483	0,026152	0,034537	0,021713	0,022535	0,021056
0,045882	0,045718	0,030427	0,037332	0,055089	0,014479	0,036017	0,025495
0,039141	0,02681	0,02533	0,018589	0,02122	0,023357	0,037332	0,019247
0,03651	0,016945	0,024179	0,049828	0,015301	0,023357	0,038977	0,021713
0,035195	0,042758	0,059857	0,025824	0,031578	0,03651	0,021549	0,018918
0,046868	0,057391	0,011684	0,025001	0,049335	0,020069	0,025495	0,033387
0,038812	0,03651	0,01711	0,010369	0,027961	0,0024767	0,01415	0,044896
0,044073	0,031085	0,025824	0,037497	0,018918	0,0079024	0,037168	0,03536
0,037497	0,028947	0,04917	0,0041209	0,015137	0,034044	0,040128	0,026646
0,020069	0,035853	0,032071	0,024344	0,034373	0,033058	0,024344	0,028125
0,034373	0,063803	0,027303	0,032564	0,051308	0,029441	0,026481	0,030098
